"Name";"RA.hour";"RA.min";"RA.sec";"DECL.deg";"DECL.min";"DECL.sec";"Period";"Range";"N(obs)";"Dec.2020";"Jan.2021";"Feb.2021";"Mar.2021";"Apr.2021";"May.2021";"Jun.2021";"Jul.2021";"Aug.2021";"Sep.2021";"Oct.2021";"Nov.2021";"Dec.2021"
"RR CEP";"2";"43";"15.46";"81";"8";"9.5";"386.3";"<11.3-15.7>";156;"fading";"MIN(24)";"rising";"rising";"rising";"rising";"MAX(27)";"fading";"fading";"fading";"fading";"fading";"fading"
"T ARI";"2";"48";"19.74";"17";"30";"33.8";"316.6";"<8.2-10.4>";191;"rising";"rising";"rising";"MAX(4)";"fading";"fading";"fading";"MIN(26)";"rising";"rising";"rising";"rising";"rising"
"R HOR";"2";"53";"52.76";"-49";"53";"22.7";"408.4";"<6.0-12.4>";47;"rising";"rising";"rising";"MAX(17)";"fading";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(19)";"rising"
"T HOR";"3";"0";"52.12";"-50";"38";"31.8";"218.8";"<8.8-13.5>";21;"fading";"fading";"MIN(25)";"rising";"rising";"rising";"MAX(15)";"fading";"fading";"fading";"MIN(2)";"rising";"rising"
"U ARI";"3";"11";"3.04";"14";"48";"0.2";"368.6";"<8.1-13.9>";44;"rising";"MAX(15)";"fading";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(6)";"rising";"rising";"rising"
"X CET";"3";"19";"26.07";"-1";"3";"56.1";"177.0";"<9.0-11.9>";33;"fading";"MIN(9)";"rising";"MAX(26)";"fading";"fading";"fading";"MIN(5)";"rising";"MAX(19)";"fading";"fading";"MIN(29)"
"Y PER";"3";"27";"42.38";"44";"10";"36.5";"263.5";"<9.0-9.4>";702;"rising";"MAX(29)";"fading";"fading";"fading";"fading";"fading";"MIN(12)";"rising";"rising";"MAX(20)";"fading";"fading"
"R PER";"3";"30";"3.11";"35";"40";"16.6";"210.5";"<8.0-13.2>";66;"rising";"MAX(27)";"fading";"fading";"MIN(26)";"rising";"rising";"rising";"MAX(26)";"fading";"fading";"MIN(22)";"rising"
"U ERI";"3";"50";"29.15";"-24";"57";"22.8";"274.5";"<9.1-14.4>";53;"MIN(25)";"rising";"rising";"rising";"MAX(30)";"fading";"fading";"fading";"fading";"MIN(26)";"rising";"rising";"rising"
"T ERI";"3";"55";"13.9";"-24";"1";"56.6";"252.7";"<7.9-12.6>";60;"rising";"rising";"MAX(2)";"fading";"fading";"fading";"MIN(13)";"rising";"rising";"rising";"MAX(13)";"fading";"fading"
"W ERI";"4";"11";"31.02";"-25";"8";"2.2";"369.1";"<7.9-13.3>";49;"fading";"fading";"fading";"MIN(9)";"rising";"rising";"rising";"rising";"MAX(13)";"fading";"fading";"fading";"fading"
